date,long_gross_return,short_gross_return,gross_return,transaction_cost,borrow_cost,net_return,benchmark_return,excess_return,audit_bucket
2025-06-16,0.03450806928511098,-0.00045037675106472273,0.03405769253404626,0.004000000000000002,0.0,0.030057692534046256,0.010241614134128876,0.019816078399917378,best
2026-04-08,0.0427072066211298,-0.013006069842432195,0.029701136778697613,0.0,0.0,0.029701136778697613,0.02492130757684111,0.004779829201856503,best
2025-10-29,0.01265244456278407,0.013404397554320048,0.02605684211710412,0.0,0.0,0.02605684211710412,-0.004087223638838632,0.03014406575594275,best
2025-11-24,0.027369448636863112,-0.0024516521130059535,0.02491779652385716,0.0,0.0,0.02491779652385716,0.007306222811812909,0.017611573712044252,best
2025-11-05,0.02687756876689979,-0.002520365881767579,0.024357202885132212,0.0,0.0,0.024357202885132212,0.006411251604536378,0.017945951280595833,best
2026-02-04,-0.024325587146834637,-0.0060105760154996225,-0.03033616316233426,0.004000000000000002,0.0,-0.03433616316233426,0.0009183442244238312,-0.03525450738675809,worst
2026-04-28,-0.02272277658584304,-0.004672266617131381,-0.027395043202974416,0.0,0.0,-0.027395043202974416,-0.004206247455730463,-0.023188795747243952,worst
2025-10-30,-0.021209467269727233,-0.0034529884908020164,-0.02466245576052925,0.0,0.0,-0.02466245576052925,-0.005029976198486125,-0.019632479562043125,worst
2025-12-12,-0.024210810206341048,-0.00031780466065198514,-0.024528614866993034,0.0,0.0,-0.024528614866993034,-0.008608709942640427,-0.015919904924352607,worst
2025-12-17,-0.020438283484471024,0.00015528687313663074,-0.020282996611334397,0.0,0.0,-0.020282996611334397,-0.006276098826528331,-0.014006897784806066,worst
