date,long_gross_return,short_gross_return,gross_return,transaction_cost,borrow_cost,net_return,benchmark_return,excess_return,audit_bucket
2025-06-16,0.032046829584473496,-0.0012116469970869011,0.030835182587386593,0.004000000000000002,0.0,0.02683518258738659,0.010241614134128876,0.016593568453257712,best
2025-11-24,0.0220585377452712,0.0019468676441256412,0.024005405389396838,0.0,0.0,0.024005405389396838,0.007306222811812909,0.01669918257758393,best
2026-04-08,0.03871097833466045,-0.01764448254203946,0.02106649579262099,0.0,0.0,0.02106649579262099,0.02492130757684111,-0.003854811784220119,best
2026-03-09,0.021088775124342173,-0.0011929800578838125,0.019895795066458357,0.0,0.0,0.019895795066458357,0.006084815765479082,0.013810979300979274,best
2025-11-05,0.018381673854324935,0.0002206202744701472,0.01860229412879508,0.0,0.0,0.01860229412879508,0.006411251604536378,0.012191042524258702,best
2026-02-04,-0.02031444972664647,-0.005796979907139672,-0.02611142963378614,0.004000000000000002,0.0,-0.030111429633786144,0.0009183442244238312,-0.031029773858209975,worst
2025-10-30,-0.01795266369719378,-0.005851859020906362,-0.02380452271810014,0.0,0.0,-0.02380452271810014,-0.005029976198486125,-0.018774546519614015,worst
2026-04-28,-0.015538475467312582,-0.006486574022872534,-0.022025049490185116,0.0,0.0,-0.022025049490185116,-0.004206247455730463,-0.017818802034454653,worst
2025-12-12,-0.017652248465686023,-0.001916473788002826,-0.019568722253688848,0.0,0.0,-0.019568722253688848,-0.008608709942640427,-0.010960012311048421,worst
2026-01-08,-0.0094099291330882,-0.008876679275267352,-0.018286608408355554,0.0,0.0,-0.018286608408355554,0.0037545754122302573,-0.02204118382058581,worst
